Partlist

Exported from csa_ultracpu.sch at 4/17/22 9:51 PM

EAGLE Version 6.4.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Device             Package          Library          Sheet

C1       0.1u               C-EUC0603          C0603            rcl              3
C2       0.1u               C-EUC0603          C0603            rcl              3
C3       0.1u               C-EUC0603          C0603            rcl              3
C4       0.1u               C-EUC0603          C0603            rcl              3
C5       47u                CPOL-EUE5-6        E5-6             rcl              3
C6       47u                CPOL-EUE2.5-6      E2,5-6           rcl              3
C7       100n               C-EUC0603          C0603            rcl              3
C8       100n               C-EUC0603          C0603            rcl              3
C9       1.0u Cer           C-EUC0603          C0603            rcl              5
C10      1u                 C-EUC0603          C0603            rcl              3
C11      1u                 C-EUC0603          C0603            rcl              3
C12      0.1u               C-EUC0603          C0603            rcl              3
C13      0.1u               C-EUC0603          C0603            rcl              3
C14      0.1u               C-EUC0603          C0603            rcl              3
C15      0.1u               C-EUC0603          C0603            rcl              3
C16      0.1u               C-EUC0603          C0603            rcl              5
C17      0.1u               C-EUC0603          C0603            rcl              3
C18      0.1u               C-EUC0603          C0603            rcl              3
C19      0.1u               C-EUC0603          C0603            rcl              3
C20      0.1u               C-EUC0603          C0603            rcl              3
C21      0.1u               C-EUC0603          C0603            rcl              5
C22      0.1u               C-EUC0603          C0603            rcl              3
C23      0.1u               C-EUC0603          C0603            rcl              3
C24      0.1u               C-EUC0603          C0603            rcl              3
C25      0.1u               C-EUC0603          C0603            rcl              3
C26      47u                CPOL-EUE2.5-6      E2,5-6           rcl              3
C27      0.1u               C-EUC0603          C0603            rcl              5
C28      22u                CPOL-EUE2.5-6      E2,5-6           rcl              3
C29      18p                C-EUC0603          C0603            rcl              5
C30      18p                C-EUC0603          C0603            rcl              5
C31      0.1u               C-EUC0603          C0603            rcl              3
C32      0.1u               C-EUC0603          C0603            rcl              3
C33      0.1u               C-EUC0603          C0603            rcl              3
C34      0.1u               C-EUC0603          C0603            rcl              3
C35      0.1u               C-EUC0603          C0603            rcl              3
C36      22u                CPOL-EUE2.5-6      E2,5-6           rcl              3
C37      22u                CPOL-EUE2.5-6      E2,5-6           rcl              3
C38      22u                CPOL-EUE2.5-6      E2,5-6           rcl              3
C39      18p                C-EUC0603          C0603            rcl              5
C40      18p                C-EUC0603          C0603            rcl              5
C41      0.1u               C-EUC0603          C0603            rcl              3
C42      0.1u               C-EUC0603          C0603            rcl              3
C43      0.1u               C-EUC0603          C0603            rcl              3
C44      0.1u               C-EUC0603          C0603            rcl              3
C45      0.1u               C-EUC0603          C0603            rcl              3
C46      0.1u               C-EUC0603          C0603            rcl              3
C47      0.1u               C-EUC0603          C0603            rcl              3
C48      0.1u               C-EUC0603          C0603            rcl              3
C49      1u                 C-EUC0603          C0603            rcl              3
C50      1u                 C-EUC0603          C0603            rcl              3
C51      1u                 C-EUC0603          C0603            rcl              3
C52      0.1u               C-EUC0603          C0603            rcl              3
C53      1u                 C-EUC0603          C0603            rcl              3
