"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"31-XX";"B3F-31XX";"S1";"OMRON SWITCH";"";"B3F-3100";"959704";"36M3582";
"5";"";"JP1E";"JP1";"JP1, JP2, JP3, JP4, JP6";"JUMPER";"";"";"";"";
"1";"";"JP2E";"JP2";"JP5";"JUMPER";"";"";"";"";
"1";"";"JP4E";"JP4";"JP7";"JUMPER";"";"";"";"";
"1";"";"LED3MM";"LED3MM";"LED1";"LED";"";"";"";"";
"1";"";"SJ2W";"SJ_2";"SJ1";"SMD solder JUMPER";"";"";"";"";
"44";"0.1u";"C-EUC0603";"C0603";"C2, C11, C12, C13, C15, C16, C17, C18, C19, C21, C22, C23, C24, C25, C26, C27, C31, C32, C33, C34, C35, C41, C42, C43, C44, C45, C46, C47, C48, C58, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113";"CAPACITOR, European symbol";"";"";"";"";
"1";"1.0u Cer";"C-EUC0603";"C0603";"C9";"CAPACITOR, European symbol";"";"";"";"";
"2";"100";"R-EU_0204/2V";"0204V";"R28, R31";"RESISTOR, European symbol";"";"";"";"";
"2";"100n";"C-EUC0603";"C0603";"C7, C8";"CAPACITOR, European symbol";"";"";"";"";
"1";"10k";"R-EU_0204/2V";"0204V";"R3";"RESISTOR, European symbol";"";"";"";"";
"4";"10k";"R-EU_0204/5";"0204/5";"R6, R16, R17, R27";"RESISTOR, European symbol";"";"";"";"";
"6";"10k";"R-EU_0207/2V";"0207/2V";"R9, R10, R11, R23, R24, R26";"RESISTOR, European symbol";"";"";"";"";
"1";"10k";"RN08";"RN-9";"RN2";"RESISTOR NETWORK";"";"";"unknown";"unknown";
"1";"12MHz";"CRYSTALHC49S";"HC49/S";"Q3";"CRYSTAL";"";"";"1667008";"unknown";
"1";"16MHz";"CRYSTAL_RES-SG51";"SG51";"QG2";"CRYSTAL RESONATOR";"";"";"unknown";"unknown";
"4";"18p";"C-EUC0603";"C0603";"C29, C30, C39, C40";"CAPACITOR, European symbol";"";"";"";"";
"4";"1N4148";"DIODE-D-5";"D-5";"D5, D6, D8, D9";"DIODE";"";"";"";"";
"5";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"D1, D2, D3, D4, D7";"DIODE";"";"";"";"";
"3";"1k";"R-EU_0204/2V";"0204V";"R18, R19, R20";"RESISTOR, European symbol";"";"";"";"";
"1";"1k";"R-EU_0207/2V";"0207/2V";"R5";"RESISTOR, European symbol";"";"";"";"";
"1";"1k5";"R-EU_0207/2V";"0207/2V";"R12";"RESISTOR, European symbol";"";"";"";"";
"2";"1u";"C-EU050-025X075";"C050-025X075";"C3, C10";"CAPACITOR, European symbol";"";"";"";"";
"11";"1u";"C-EUC0603";"C0603";"C1, C4, C14, C49, C54, C55, C56, C57, C120, C121, C123";"CAPACITOR, European symbol";"";"";"";"";
"10";"22u";"C-EUC0805";"C0805";"C5, C63, C64, C65, C66, C67, C68, C69, C70, C71";"CAPACITOR, European symbol";"";"";"";"";
"1";"22u";"CPOL-EUE2.5-6";"E2,5-6";"C38";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"1";"2k";"R-EU_0204/2V";"0204V";"R21";"RESISTOR, European symbol";"";"";"";"";
"1";"32kHz";"CRYSTALTC26H";"TC26H";"Q2";"CRYSTAL";"";"";"unknown";"unknown";
"3";"33";"R-EU_0204/7";"0204/7";"R1, R2, R4";"RESISTOR, European symbol";"";"";"";"";
"1";"330";"R-EU_0207/2V";"0207/2V";"R29";"RESISTOR, European symbol";"";"";"";"";
"1";"390";"R-EU_0207/2V";"0207/2V";"R22";"RESISTOR, European symbol";"";"";"";"";
"3";"470";"R-EU_0204/2V";"0204V";"R13, R14, R15";"RESISTOR, European symbol";"";"";"";"";
"1";"47u";"CPOL-EUE2.5-6";"E2,5-6";"C6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"1";"4k7";"R-EU_0207/2V";"0207/2V";"R25";"RESISTOR, European symbol";"";"";"";"";
"1";"50MHz";"CRYSTAL_RES-SG51";"SG51";"QG1";"CRYSTAL RESONATOR";"";"";"unknown";"unknown";
"2";"68";"R-EU_0204/2V";"0204V";"R7, R8";"RESISTOR, European symbol";"";"";"";"";
"2";"680";"R-EU_0204/2V";"0204V";"R30, R32";"RESISTOR, European symbol";"";"";"";"";
"1";"74HC138D";"74ACT138D";"SO16";"IC6";"3-line to 8-line DECODER/DEMULTIPLEXER";"";"";"";"";
"2";"74HCT244DW";"74HCT244DW";"SO20W";"IC13, IC19";"Octal BUFFER and LINE DRIVER, 3-state";"";"";"";"";
"3";"74HCT245DW";"74LS245DW";"SO20W";"IC2, IC4, IC5";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";
"1";"74LS125D";"74LS125D";"SO14";"IC3";"Quad bus BUFFER, 3-state";"";"";"";"";
"1";"74LVC06";"74LS06D";"SO14";"IC18";"Hex INVERTER, open collector high-voltage output";"";"";"";"";
"1";"74LVC14";"74HCT14D";"SO14";"IC14";"Hex schmitt trigger INVERTER";"";"";"";"";
"1";"74LVC8T245SO24";"74LVC8T245SO24";"SO24L";"IC16";"";"";"";"";"";
"1";"74S138D";"74S138D";"SO16";"IC7";"3-line to 8-line DECODER/DEMULTIPLEXER";"";"";"";"";
"1";"AP2132B-1.2";"AP2132BB";"PSOP-8-FIXED";"U$16";"";"";"";"";"";
"1";"AP2132B-2.5";"AP2132BB";"PSOP-8-FIXED";"U$17";"";"";"";"";"";
"1";"CSABUS";"CSABUS";"CSABUS";"P1";"";"";"";"";"";
"1";"D-SUB15-HDR15RA";"D-SUB15-HDR15RA";"HDR15RA";"X2";"D-Subminiatur Connector";"";"";"unknown";"unknown";
"1";"DS1818";"DS1813";"TO92";"DS1818";"";"";"";"";"";
"1";"ETHOLIENC";"ETHOLIENC";"ETHOLIENC";"U$9";"";"";"";"";"";
"1";"LDI1117";"LDI1117";"SOT223";"U$3";"";"";"";"";"";
"1";"MAX3421E";"MAX3421E";"TQFP32-5MM";"IC8";"";"";"";"";"";
"1";"MCP48X2";"MCP48X2";"SOIC8";"SN1";"";"";"";"";"";
"1";"MCP79510";"MCP79510";"MSOP10";"U$13";"";"";"";"";"";
"2";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";
"7";"PESD5V0L1BA";"ESDBIDIR";"SOD323";"U$5, U$6, U$8, U$10, U$11, U$14, U$15";"";"";"";"";"";
"2";"RAMSOCK32TO512KSOP";"RAMSOCK32TO512KSOP";"SOP32";"IC1, IC10";"";"";"";"";"";
"1";"RENOSCXLH";"RENOSCXLH";"RENJS6";"JS1";"";"";"";"";"";
"1";"SD-CARD-GRAVI";"SD-CARD-GRAVI";"GRAVITECH-SDCARD";"U$12";"";"";"";"";"";
"1";"SJ1-3513N";"1503_09";"1503_09";"X1";"Jack connectors according to JISC 6560, 3.5 mm";"";"";"1243244";"unknown";
"2";"SPIFLASH";"SPIFLASH";"DIL08";"U$4, U$18";"";"";"";"";"";
"1";"USB-A-H";"USB-A-H";"USB-A-H";"USB1";"USB Connectors";"";"";"";"";
"1";"W65C816SPLCC";"W65C816SPLCC";"PLCC44";"U$1";"";"";"";"";"";
"1";"XC3S250E";"XC3S100E";"TQFP144";"U$2";"";"";"";"";"";
"1";"XILINXPROG";"XILINXPROG";"FLAT10BOX";"U$7";"";"";"";"";"";
