Comment,Designator,Footprint,LCSC,Quantity
0.1u,"C101,C102,C103,C104,C105,C106,C107,C108,C109,C11,C110,C111,C112,C113,C12,C121,C13,C15,C16,C17,C18,C19,C2,C20,C21,C22,C24,C25,C26,C27,C28,C31,C32,C34,C35,C36,C37,C41,C42,C43,C44,C45,C46,C47,C48,C58",C0603,C14663,46
100,"R28,R31",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22775,2
100n,"C50,C51,C52,C53,C59,C60,C61,C62,C63,C7,C72,C73,C8",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,13
10k,"R10,R11,R12,R16,R17,R18,R24,R26,R27,R3,R5,R6,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,13
10k,RN2,RN-9,C8692,1
12MHz,Q3,HC49_S,C16369,1
18p,"C29,C30,C39,C40",C0603,C1647,4
1N4148,"D5,D6,D8",D-5,C402212,3
1N4448,D9,D_SOD-123,C2128,1
1k,"R13,R14,R7,R8",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190,4
1u,"C1,C10,C120,C123,C14,C3,C4,C49,C54,C55,C56,C57,C9",C0603,C15849,13
22u,"C38,C5,C64,C65,C66,C67,C68,C69,C70,C71,C74",C0805,C45783,11
31-XX,S1,B3F-31XX,C231320,1
32kHz,Q2,TC26H,C3013591,1
33,"R1,R2,R4",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17634,3
330,R15,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C23138,1
390,R22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23151,1
47u,"C23,C33,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C16780,3
680,"R30,R32",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23228,2
741G04DBV,IC6,SOT23-5,C434067,1
74244DW,"IC13,IC19",SO20W,C6776,2
74HCT245DW,"IC4,IC5",SO20W,C132267,2
74LVC06,IC18,SO14,C7658,1
74LVC125,"IC1,U2",SO14,C6057,2
74LVC14,IC14,SO14,C133541,1
74LVC8T245SO24,IC16,SO24L,C2677625,1
AP2132B-1.2,U$16,PSOP-8-FIXED,C338874,1
Battery_Cell,BT1,Kinghelm CR2032 Holder,C5365915,1
CSABUS,P1,CSABUS,C5173362,1
DS1818,DS1818,SOT-23,C143298,1
HDMI_A,J1,HDMI_A_Molex_208658-1001_Horizontal,C138388,1
IS61WV51216EDALL,"U1,U5",TSOP-II-44_10.16x18.41mm_P0.8mm,C57407,2
JP1E,"JP12,JP13,JP2,JP3,JP6",JP1,C234182,5
JP1E,JP1,PinHeader_1x02_P2.54mm_Horizontal,C54570432,1
JP2E,"JP15,JP5",JP2,C587036,2
JP4E,JP7,JP4,C587039,1
LDI1117,U$3,SOT223,C6186,1
LED3MM,LED1,LED3MM,C85161,1
MAX3421E,IC8,LQFP-32_5x5mm_P0.5mm,C2651881,1
MCP48X2,SN1,SOIC8,C144363,1
MCP79510,U$13,MSOP10,C627708,1
Micro_SD_Card_Det2,J2,microSD_HC_Molex_104031-0811,C585350,1
PESD5V0L1BA,"U$14,U$15",SOD323,C2687118,2
SD-CARD-GRAVI,U$12,GRAVITECH-SDCARD,C27438,1
SG-8002CE,X3,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,C2831398,1
SJ1-3513N,X1,1503_09,C145814,1
SPIFLASH,"U$18,U$4",DIL08,C72124,2
USB-A-H,USB1,USB-A-H,C456018,1
W65C816SPLCC,U$1,PLCC44,C72279,1
XC6SLX25-CSG324,U4,Xilinx_CSG324,C169795,1
XILINXPROG,U$2,FLAT10BOX,C5661,1
~,U3,Diodes_ZL32_TQFN-32-1EP_3x6mm_P0.4mm_EP1.25x3.5mm,C2674182,1
