Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,Kinghelm CR2032 Holder,192.05,-128.24,180.0,top
C1,1u,C0603,134.9756,-98.4504,180.0,top
C10,1u,C_0603_1608Metric,175.1761,-151.514175,0.0,top
C101,0.1u,C0603,150.114,-79.8576,90.0,top
C102,0.1u,C0603,152.2299,-79.854425,-90.0,top
C103,0.1u,C0603,154.3304,-79.8576,90.0,top
C104,0.1u,C0603,165.885125,-99.7331,0.0,top
C105,0.1u,C0603,165.9459,-101.7143,180.0,top
C106,0.1u,C0603,134.9756,-95.84055,0.0,top
C107,0.1u,C0603,165.862,-104.902,180.0,top
C108,0.1u,C0603,135.00735,-93.856175,0.0,top
C109,0.1u,C0603,144.018,-111.9632,-90.0,top
C11,0.1u,C0603,190.177975,-110.239175,0.0,top
C110,0.1u,C0603,153.0096,-111.9632,-90.0,top
C111,0.1u,C0603,157.1194,-111.9632,90.0,top
C112,0.1u,C0603,163.261675,-109.04085,0.0,top
C113,0.1u,C0603,148.9456,-111.9632,90.0,top
C12,0.1u,C0603,179.77985,-67.45605,90.0,top
C120,1u,C0603,110.3884,-113.3856,-90.0,top
C121,0.1u,C0603,128.1684,-113.5888,90.0,top
C123,1u,C0603,165.041025,-70.297675,0.0,top
C13,0.1u,C0603,87.784225,-94.12605,180.0,top
C14,1u,C0603,137.0761,-136.03605,-90.0,top
C15,0.1u,C0603,97.467975,-128.41605,180.0,top
C16,0.1u,C0603,199.702975,-98.332925,0.0,top
C17,0.1u,C0603,183.2,-144.4,-90.0,top
C18,0.1u,C0603,114.5336,-128.8923,0.0,top
C19,0.1u,C0603,96.4361,-78.4098,0.0,top
C2,0.1u,C0603,163.26985,-106.9848,0.0,top
C20,0.1u,C0603,135.13435,-88.585675,180.0,top
C21,0.1u,C0603,204.7036,-96.98355,-90.0,top
C22,0.1u,C0603,167.000475,-137.226675,90.0,top
C23,47u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,205.0,-106.6,180.0,top
C24,0.1u,C0603,177.7161,-111.350425,0.0,top
C25,0.1u,C0603,188.020325,-90.30835,-90.0,top
C26,0.1u,C0603,115.247975,-82.69605,0.0,top
C27,0.1u,C0603,198.0361,-87.77605,-90.0,top
C28,0.1u,C0603,150.9776,-111.9632,-90.0,top
C29,18p,C0603,190.4161,-63.8048,-90.0,top
C3,1u,C_0603_1608Metric,175.2,-148.41855,180.0,top
C30,18p,C0603,187.5586,-63.8048,-90.0,top
C31,0.1u,C0603,105.9611,-92.53855,180.0,top
C32,0.1u,C0603,126.75735,-81.9023,180.0,top
C33,47u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,209.2,-106.6,0.0,top
C34,0.1u,C0603,97.0711,-62.37605,0.0,top
C35,0.1u,C0603,173.350475,-128.971675,180.0,top
C36,0.1u,C0603,159.1564,-83.4136,0.0,top
C37,0.1u,C0603,135.0391,-90.839925,180.0,top
C38,22u,C0805,184.47885,-72.34555,180.0,top
C39,18p,C0603,201.68735,-78.25105,0.0,top
C4,1u,C0603,140.09235,-84.60105,180.0,top
C40,18p,C0603,207.2436,-78.25105,180.0,top
C41,0.1u,C0603,140.012975,-82.5373,180.0,top
C42,0.1u,C0603,211.84735,-63.1698,90.0,top
C43,0.1u,C0603,196.92485,-66.18605,90.0,top
C44,0.1u,C0603,174.498,-78.486,180.0,top
C45,0.1u,C0603,153.74485,-75.71105,0.0,top
C46,0.1u,C0603,107.70735,-60.78855,90.0,top
C47,0.1u,C0603,97.7061,-111.7473,0.0,top
C48,0.1u,C0603,139.07635,-136.03605,90.0,top
C49,1u,C0603,173.99,-95.3516,180.0,top
C5,22u,C0805,148.02985,-68.329175,180.0,top
C50,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,208.2,-108.9,0.0,top
C51,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,215.5952,-109.0676,90.0,top
C52,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.5836,-99.4732,0.0,top
C53,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,177.292,-100.2792,0.0,top
C54,1u,C0603,114.5336,-130.8608,180.0,top
C55,1u,C0603,185.05035,-78.6638,0.0,top
C56,1u,C0603,169.0801,-137.226675,90.0,top
C57,1u,C0603,178.50985,-61.2648,-90.0,top
C58,0.1u,C0603,198.0361,-142.06855,90.0,top
C59,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.5836,-101.4984,0.0,top
C6,47u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,83.89485,-148.10105,-90.0,top
C60,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,177.292,-102.2096,0.0,top
C61,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.6344,-103.5304,0.0,top
C62,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.6344,-105.6132,0.0,top
C63,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,177.292,-104.14,0.0,top
C64,22u,C0805,163.825475,-64.360425,180.0,top
C65,22u,C0805,156.840475,-63.32855,0.0,top
C66,22u,C0805,173.509225,-57.7723,180.0,top
C67,22u,C0805,200.020475,-103.65105,0.0,top
C68,22u,C0805,163.7461,-148.815425,90.0,top
C69,22u,C0805,128.582975,-149.05355,180.0,top
C7,100n,C0603,141.04485,-67.2973,180.0,top
C70,22u,C0805,104.84985,-66.741675,90.0,top
C71,22u,C0805,129.535475,-67.535425,0.0,top
C72,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,177.3428,-106.172,0.0,top
C73,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,210.125,-128.245,180.0,top
C74,22u,C0805,214.9016,-141.1916,180.0,top
C8,100n,C0603,153.5861,-67.535425,0.0,top
C9,1u,C0603,206.7356,-96.904175,-90.0,top
CEC1,Conn_01x01_Pin,PinHeader_1x01_P1.00mm_Vertical,213.3,-126.8,0.0,top
D5,1N4148,D-5,193.511725,-77.1398,180.0,top
D6,1N4148,D-5,193.670475,-74.44105,180.0,top
D8,1N4148,D-5,214.06985,-93.0148,0.0,top
D9,1N4448,D_SOD-123,219.6592,-106.934,180.0,top
DS1818,DS1818,SOT-23,142.4,-148.6,0.0,top
H3,MOUNT-HOLE3.2,"3,2",223.7536,-59.83605,0.0,top
H4,MOUNT-HOLE3.2,"3,2",223.7536,-150.32355,0.0,top
IC1,74LVC125,SO14,175.4936,-117.1448,-90.0,top
IC13,74244DW,SO20W,93.10235,-86.9823,-90.0,top
IC14,74LVC14,SO14,113.10485,-88.41105,-90.0,top
IC16,74LVC8T245SO24,SO24L,92.78485,-102.69855,-90.0,top
IC18,74LVC06,SO14,124.21735,-88.41105,-90.0,top
IC19,74244DW,SO20W,93.2611,-70.1548,-90.0,top
IC4,74HCT245DW,SO20W,93.5786,-120.0023,-90.0,top
IC5,74HCT245DW,SO20W,93.2611,-136.67105,-90.0,top
IC6,741G04DBV,SOT23-5,133.504225,-140.15855,0.0,top
IC8,MAX3421E,LQFP-32_5x5mm_P0.5mm,204.147975,-89.5223,270.0,top
J1,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,221.6,-117.0,0.0,top
J2,Micro_SD_Card_Det2,microSD_HC_Molex_104031-0811,221.375,-132.7,-90.0,top
JP1,JP1E,PinHeader_1x02_P2.54mm_Horizontal,224.3166,-105.2526,0.0,top
JP10,PIN,PIN,216.371725,-58.962925,0.0,top
JP11,PIN,PIN,121.67735,-143.100425,90.0,top
JP12,JP1E,JP1,214.2744,-70.9522,0.0,top
JP13,JP1E,JP1,218.1192,-70.9522,0.0,top
JP15,JP2E,JP2,78.26,-151.6,0.0,top
JP16,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,213.1568,-106.3752,0.0,top
JP17,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,198.0,-113.0,-90.0,top
JP18,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,200.5,-113.0,-90.0,top
JP19,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,210.23,-121.695,0.0,top
JP2,JP1E,JP1,184.0661,-61.2648,90.0,top
JP3,JP1E,JP1,182.88,-115.0112,180.0,top
JP4,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,210.2,-124.7,0.0,top
JP5,JP2E,JP2,167.8736,-143.1798,-90.0,top
JP6,JP1E,JP1,85.16485,-78.647925,90.0,top
JP7,JP4E,JP4,152.79235,-151.4348,0.0,top
JP8,PIN,PIN,132.15485,-128.177925,90.0,top
JP9,PIN,PIN,129.1386,-132.7023,90.0,top
LED1,LED3MM,LED3MM,225.285,-141.78,0.0,top
P1,CSABUS,CSABUS,74.78395,-104.902,180.0,top
Q2,32kHz,TC26H,189.1461,-59.51855,-90.0,top
Q3,12MHz,HC49_S,204.86235,-71.58355,0.0,top
R1,33,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,214.5461,-90.871675,0.0,top
R10,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,150.56985,-145.4023,180.0,top
R11,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.28485,-145.481675,180.0,top
R12,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,219.4814,-67.0146,0.0,top
R13,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,211.9,-108.8,180.0,top
R14,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,203.7,-115.2,0.0,top
R15,330,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.5,-122.5,0.0,top
R16,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,90.11785,-128.2573,180.0,top
R17,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.7536,-58.56605,180.0,top
R18,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,183.0,-119.4,0.0,top
R2,33,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,214.5461,-88.331675,0.0,top
R22,390,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,220.205,-141.7292,180.0,top
R24,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,167.000475,-57.80405,180.0,top
R26,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,220.2688,-104.394,0.0,top
R27,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.9636,-71.345425,0.0,top
R28,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,178.0336,-144.1323,0.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.6932,-71.0692,0.0,top
R30,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,172.47735,-144.1323,180.0,top
R31,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,172.47735,-141.43355,180.0,top
R32,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,168.270475,-149.926675,-90.0,top
R4,33,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,203.7511,-81.981675,0.0,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,219.4814,-64.7192,0.0,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,88.72085,-111.71555,0.0,top
R7,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,199.985,-115.855,0.0,top
R8,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,194.1,-112.2,90.0,top
R9,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,193.564,-79.600425,180.0,top
RN2,10k,RN-9,114.2161,-147.14855,180.0,top
S1,31-XX,B3F-31XX,225.0236,-70.234175,90.0,top
SN1,MCP48X2,SOIC8,173.74735,-133.0198,-90.0,top
U$1,W65C816SPLCC,PLCC44,154.141725,-129.36855,180.0,top
U$12,SD-CARD-GRAVI,GRAVITECH-SDCARD,192.79735,-94.2848,90.0,top
U$13,MCP79510,MSOP10,191.3686,-68.40855,-90.0,top
U$14,PESD5V0L1BA,SOD323,218.5466,-86.84895,-90.0,top
U$15,PESD5V0L1BA,SOD323,218.54795,-92.111275,90.0,top
U$16,AP2132B-1.2,PSOP-8-FIXED,172.397975,-62.137925,0.0,top
U$18,SPIFLASH,DIL08,189.8431,-145.4,0.0,top
U$2,XILINXPROG,FLAT10BOX,131.2164,-61.5696,-90.0,top
U$3,LDI1117,SOT223,147.791725,-60.717925,0.0,top
U$4,SPIFLASH,DIL08,205.17985,-61.820425,180.0,top
U$9,ETHOLIENC,ETHOLIENC,217.641725,-89.36355,0.0,top
U1,IS61WV51216EDALL,TSOP-II-44_10.16x18.41mm_P0.8mm,118.5164,-113.3348,0.0,top
U2,74LVC125,SO-14_3.9x8.65mm_P1.27mm,210.4,-135.1,270.0,top
U3,~,Diodes_ZL32_TQFN-32-1EP_3x6mm_P0.4mm_EP1.25x3.5mm,211.9,-114.5,0.0,top
U4,XC6SLX25-CSG324,Xilinx_CSG324,151.1808,-96.1644,90.0,top
U5,IS61WV51216EDALL,TSOP-II-44_10.16x18.41mm_P0.8mm,174.5488,-87.0712,90.0,top
USB1,USB-A-H,USB-A-H,222.950325,-89.36355,180.0,top
UTIL1,Conn_01x01_Pin,PinHeader_1x01_P1.00mm_Vertical,214.03,-123.565,0.0,top
X1,SJ1-3513N,1503_09,208.6661,-148.25105,-90.0,top
X3,SG-8002CE,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,148.301,-73.079,180.0,top
