Designator,Mid X,Mid Y,Rotation,Layer
C1,135.7426,-101.920675,180.0,top
C10,175.1761,-151.514175,0.0,top
C101,150.213775,-79.90205,90.0,top
C102,152.2299,-79.854425,270.0,top
C103,154.23015,-79.886175,90.0,top
C104,168.302225,-95.0468,0.0,top
C105,168.363,-97.028,180.0,top
C106,135.7426,-99.310825,0.0,top
C107,168.5721,-102.7557,180.0,top
C108,135.77435,-97.32645,0.0,top
C109,142.308025,-110.810675,270.0,top
C11,190.177975,-110.239175,0.0,top
C110,152.96015,-111.926,270.0,top
C111,157.1194,-110.7948,90.0,top
C112,163.261675,-109.04085,0.0,top
C113,148.9279,-111.96955,90.0,top
C12,179.77985,-67.45605,90.0,top
C120,110.47095,-114.1299,270.0,top
C121,130.72745,-114.177525,90.0,top
C123,165.041025,-70.297675,0.0,top
C13,87.784225,-94.12605,180.0,top
C14,137.0761,-136.03605,270.0,top
C15,97.467975,-128.41605,180.0,top
C16,199.702975,-98.332925,0.0,top
C17,181.129225,-127.6223,270.0,top
C18,114.5336,-128.8923,0.0,top
C19,96.4361,-78.4098,0.0,top
C2,163.26985,-106.9848,0.0,top
C20,135.90135,-92.05595,180.0,top
C21,204.7036,-96.98355,270.0,top
C22,167.000475,-137.226675,90.0,top
C24,177.7161,-111.350425,0.0,top
C25,188.020325,-90.30835,270.0,top
C26,115.247975,-82.69605,0.0,top
C27,198.0361,-87.77605,270.0,top
C28,150.98395,-112.00265,270.0,top
C29,190.4161,-63.8048,270.0,top
C3,175.255475,-148.41855,180.0,top
C30,187.5586,-63.8048,270.0,top
C31,105.9611,-92.53855,180.0,top
C32,126.75735,-81.9023,180.0,top
C33,180.5736,-139.0523,90.0,top
C34,97.0711,-62.37605,0.0,top
C35,173.350475,-128.971675,180.0,top
C36,168.236,-90.551,0.0,top
C37,135.8061,-94.3102,180.0,top
C38,183.58985,-72.21855,270.0,top
C39,201.68735,-78.25105,0.0,top
C4,140.09235,-84.60105,180.0,top
C40,207.2436,-78.25105,180.0,top
C41,140.012975,-82.5373,180.0,top
C42,211.84735,-63.1698,90.0,top
C43,196.92485,-66.18605,90.0,top
C44,168.98485,-75.5523,90.0,top
C45,153.74485,-75.71105,0.0,top
C46,107.70735,-60.78855,90.0,top
C47,97.7061,-111.7473,0.0,top
